name,occupation,location,coryat_score,place,air_date
Bob Costas,reporter,NBC Sports,15600,1,1999-03-22
Andy Richter,comedian,The Tonight Show,28600,1,2009-09-17
Michael McKean,comedian,"This is Spinal Tap, A Mighty Wind, and The Pajama Game",28600,1,2006-11-21
Pat Sajak,host,Wheel of Fortune,26400,1,2010-01-21
Graham Nash,musician,"Crosby, Stills, Nash & Young",13000,1,1999-05-21
Richard Kind,actor,Spin City,13000,2,1999-05-19
Jeff Greenfield,reporter,Newsstand: CNN & Time,13000,1,1999-04-12
Jim Lampley,reporter,TNT Sports,12300,1,1998-01-23
Bellamy Young,actor,Scandal,23200,1,2015-05-14
Andy Richter,comedian,NBC's Late Night With Conan O'Brien,11400,1,1999-11-16
Mark McEwen,reporter,CBS This Morning,11400,1,1997-04-28
Joshua Malina,actor,The West Wing,22000,1,2003-05-02
Harry Anderson,actor,Dave's World,11000,1,1993-11-12
Jerry Orbach,actor,Law & Order,10900,1,1993-11-11
Michael McKean,comedian,Hairspray and The Pajama Game,21600,1,2010-05-06
Brian Stokes Mitchell,actor,the Broadway musical Ragtime,21600,3,2006-11-16
Harry Shearer,comedian,The Simpsons and Le Show,21600,1,2006-11-14
LeVar Burton,actor,the Emmy-winning children's program Reading Rainbow,10400,1,1995-11-07
Cheech Marin,comedian,The Golden Palace,10300,1,1992-10-28
Jane Curtin,actor,Kate & Allie and 3rd Rock from the Sun,20400,1,2010-04-16
Jon Stewart,comedian,The Daily Show with Jon Stewart,10100,1,1999-11-17
Jane Kaczmarek,actor,Malcolm in the Middle and Raising the Bar,19600,1,2009-11-19
Wayne Brady,comedian,Whose Line Is It Anyway?,9700,3,2001-02-07
Mike Piazza,athlete,the Los Angeles Dodgers,9700,1,1997-05-02
John Berman,reporter,CNN's Early Start and At This Hour,19000,1,2015-05-13
Luke Perry,actor,"Beverly Hills, 90210",9500,1,1992-10-29
Michael McKean,comedian,Hairspray and The Pajama Game,18800,1,2010-05-04
Sam Waterston,actor,Law & Order,9400,1,1997-05-01
