date,day_of_week,weight_grams,weight_pounds
09/02/21,Thursday,850,1.87
09/17/21,Friday,789,1.74
09/20/21,Monday,769,1.7
09/21/21,Tuesday,891,1.96
09/22/21,Wednesday,767,1.69
09/24/21,Friday,796,1.75
09/28/21,Tuesday,842,1.86
09/29/21,Wednesday,915,2.02
10/08/21,Friday,892,1.97
10/11/21,Monday,867,1.91
10/15/21,Friday,981,2.16
10/18/21,Monday,887,1.96
10/20/21,Wednesday,1111,2.45
10/25/21,Monday,899,1.98
10/26/21,Tuesday,798,1.76
10/31/21,Sunday,790,1.74
11/03/21,Wednesday,797,1.76
11/04/21,Thursday,923,2.03
11/08/21,Monday,756,1.67
11/12/21,Friday,876,1.93
11/15/21,Monday,885,1.95
11/17/21,Wednesday,830,1.83
12/01/21,Wednesday,807,1.78
12/02/21,Thursday,769,1.7
12/05/21,Sunday,952,2.1
12/07/21,Tuesday,831,1.83
12/08/21,Wednesday,717,1.58
12/09/21,Thursday,739,1.63
12/12/21,Sunday,916,2.02
12/14/21,Tuesday,917,2.02
12/15/21,Wednesday,708,1.56
12/16/21,Thursday,742,1.64
12/26/21,Sunday,1085,2.39
12/30/21,Thursday,750,1.65
01/02/22,Sunday,967,2.13
01/08/22,Saturday,755,1.66
01/09/22,Sunday,1057,2.33
01/12/22,Wednesday,805,1.77
01/15/22,Saturday,814,1.79
01/19/22,Wednesday,986,2.17
01/26/22,Wednesday,925,2.04
01/29/22,Saturday,747,1.65
01/30/22,Sunday,780,1.72
02/02/22,Wednesday,1151,2.54
02/04/22,Friday,830,1.83
02/06/22,Sunday,905,2
02/07/22,Monday,881,1.94
02/08/22,Tuesday,728,1.6
02/11/22,Friday,798,1.76
02/15/22,Tuesday,976,2.15
02/20/22,Sunday,889,1.96
02/22/22,Tuesday,647,1.43
02/24/22,Thursday,874,1.93
02/25/22,Friday,627,1.38
02/27/22,Sunday,996,2.2
03/06/22,Sunday,949,2.09
03/07/22,Monday,916,2.02
03/09/22,Wednesday,750,1.65
03/14/22,Monday,734,1.62
03/22/22,Tuesday,918,2.02
03/29/22,Tuesday,730,1.61
04/01/22,Friday,714,1.57
04/04/22,Monday,734,1.62
04/10/22,Sunday,1000,2.2
04/11/22,Monday,908,2
04/14/22,Thursday,716,1.58
04/18/22,Monday,972,2.14
04/20/22,Wednesday,886,1.95
04/27/22,Wednesday,939,2.07
05/01/22,Sunday,945,2.08
05/03/22,Tuesday,849,1.87
05/10/22,Tuesday,838,1.85
05/11/22,Wednesday,917,2.02
05/15/22,Sunday,841,1.85
05/20/22,Friday,925,2.04
05/25/22,Wednesday,856,1.89
05/31/22,Tuesday,946,2.09
06/07/22,Tuesday,928,2.05
06/08/22,Wednesday,852,1.88
06/13/22,Monday,870,1.92
06/15/22,Wednesday,890,1.96
06/17/22,Friday,797,1.76
06/22/22,Wednesday,804,1.77
06/27/22,Monday,997,2.2
06/28/22,Tuesday,684,1.51
07/06/22,Wednesday,957,2.11
07/07/22,Thursday,919,2.03
07/11/22,Monday,732,1.61
07/16/22,Saturday,1166,2.57
07/18/22,Monday,909,2
07/19/22,Tuesday,985,2.17
07/25/22,Monday,766,1.69
07/27/22,Wednesday,916,2.02
08/01/22,Monday,857,1.89
08/04/22,Thursday,776,1.71
08/05/22,Friday,740,1.63
08/08/22,Monday,852,1.88
08/11/22,Thursday,838,1.85
08/15/22,Monday,864,1.9
08/19/22,Friday,872,1.92
08/22/22,Monday,754,1.66
08/25/22,Thursday,842,1.86
