Year,Agency,Country,Item Description,Status,Status Date,Qty Requested,Qty Allocated,Qty Accepted,Qty Rejected,Total Delivered Qty,Acquisition Value,Current Value
2020,Navy,Bahrain,High Endurance Cutter,Service Authorized to Supply EDA,6/10/2020,1,1,0,0,0,89894266,8989427
2020,Navy,Bahrain,Spare Parts,Service Authorized to Supply EDA,3/19/2020,1,1,0,0,0,6500000,325000
2020,Army,Colombia,Armored Security Vehicle M1117,Service Authorized to Supply EDA,6/1/2020,200,200,0,0,0,161900000,16190000
2020,Army,Croatia,M2A2 ODS BRADLEY FIGHTING VEHICLE,Service Authorized to Supply EDA,5/11/2020,120,120,0,0,0,157396680,15739668
2020,Navy,Dominican Republic,"Aircraft, Trainer T-34C",Service Authorized to Supply EDA,5/11/2020,10,10,0,0,0,6837950,341900
2020,Navy,Dominican Republic,"Engine, Turbo prop PT6A-25",Service Authorized to Supply EDA,5/11/2020,1,1,0,0,0,256423,12821
2020,Air Force,Greece,Spares for MKV SOC System,Service Authorized to Supply EDA,5/22/2020,0,0,0,0,0,2500000,250000
2020,Air Force,Honduras,CR-12 Flight Simulators,Service Authorized to Supply EDA,5/15/2020,5,5,0,0,0,250000,
2020,Army,Israel,Control Logic Assembly,Service Authorized to Supply EDA,6/1/2020,5,5,0,0,0,1113825,111382.5
2020,Army,Israel,Power Distribution Unit,Service Authorized to Supply EDA,6/1/2020,4,4,0,0,0,2344,234.4
2020,Army,Israel,Convertor frequency static Driver,Service Authorized to Supply EDA,6/1/2020,7,7,0,0,0,5096,509.6
2020,Army,Israel,TWT Simulator,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,5153,515.3
2020,Army,Israel,Fault monitor Final,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,400,40
2020,Army,Israel,Control logic sub assembly,Service Authorized to Supply EDA,6/1/2020,4,4,0,0,0,22248,2224.8
2020,Army,Israel,Final side inverter panel,Service Authorized to Supply EDA,6/1/2020,2,2,0,0,0,8350,835
2020,Army,Israel,Control monitor Driver,Service Authorized to Supply EDA,6/1/2020,2,2,0,0,0,166162,16616.2
2020,Army,Israel,Interconnection box (A20),Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,249.04,24.9
2020,Army,Israel,Invertert and converter doll house (final side),Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,222765,22276.5
2020,Army,Israel,Relay Assembly,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,64.6,6.46
2020,Army,Israel,Converter,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,403.47,40.35
2020,Army,Israel,244D Pulse circuit control panel (A2),Service Authorized to Supply EDA,6/1/2020,6,6,0,0,0,2454,245.4
2020,Army,Israel,Transformer Driver Assembly,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,2093.29,209.33
2020,Army,Israel,Converter,Service Authorized to Supply EDA,6/1/2020,175,175,0,0,0,70607.25,7061.25
2020,Army,Israel,Holder Printed circuit,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,47.95,4.8
2020,Army,Israel,Holder Printed circuit,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,47.95,4.8
2020,Army,Israel,Holder Printed circuit,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,47.95,4.8
2020,Army,Israel,Fault monitor Driver,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,373.5,37.35
2020,Army,Israel,P244D DC Power Control (A12),Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,409,40.9
2020,Army,Israel,Inverter,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,467.07,46.71
2020,Army,Israel,Relay Assembly,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,64.6,6.46
2020,Army,Israel,Relay Assembly,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,64.06,6.41
2020,Army,Israel,Inverter,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,467.07,46.71
2020,Army,Israel,Inverter,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,467.07,46.71
2020,Army,Israel,Fault Monitor Final,Service Authorized to Supply EDA,6/1/2020,2,2,0,0,0,800,80
2020,Army,Israel,TEST STATION TRANSMITTER TANK PAT247,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,3250000,325000
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,3,3,0,0,0,2616,261.6
2020,Army,Israel,CCA NAND1,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,15,1.5
2020,Army,Israel,CCA NAND2,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,5,0.5
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,986,98.6
2020,Army,Israel,CCA PULSE DRIVER,Service Authorized to Supply EDA,6/1/2020,2,2,0,0,0,397.78,39.78
2020,Army,Israel,CCA Pulse Input,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,105,10.5
2020,Army,Israel,CCA DC Driver,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,155,15.5
2020,Army,Israel,CCA DC Input,Service Authorized to Supply EDA,6/1/2020,15,15,0,0,0,825,82.5
2020,Army,Israel,CCA Data Cycle,Service Authorized to Supply EDA,6/1/2020,3,3,0,0,0,300,30
2020,Army,Israel,CCA FLIP FLOP,Service Authorized to Supply EDA,6/1/2020,25,25,0,0,0,476.25,47.75
2020,Army,Israel,CCA Inverter,Service Authorized to Supply EDA,6/1/2020,14,14,0,0,0,1792,179.2
2020,Army,Israel,CCA ARC Logic,Service Authorized to Supply EDA,6/1/2020,24,24,0,0,0,2958,295.92
2020,Army,Israel,CCA Synch,Service Authorized to Supply EDA,6/1/2020,17,17,0,0,0,4402.83,440.3
2020,Army,Israel,CCA TIMER,Service Authorized to Supply EDA,6/1/2020,26,26,0,0,0,5256.42,525.72
2020,Army,Israel,CCA Compairator,Service Authorized to Supply EDA,6/1/2020,48,48,0,0,0,60672,6067.2
2020,Army,Israel,CCA NAND,Service Authorized to Supply EDA,6/1/2020,33,33,0,0,0,13299,1329.9
2020,Army,Israel,CCA Status Monitor,Service Authorized to Supply EDA,6/1/2020,18,18,0,0,0,2788.02,278.82
2020,Army,Israel,CCA Status Matrix,Service Authorized to Supply EDA,6/1/2020,84,84,0,0,0,66333.12,6633.48
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,13,13,0,0,0,19292,1929.2
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,10,10,0,0,0,9860,986
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,12,12,0,0,0,12,1.2
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,1450,145
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,1742,174.2
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,1484,148.4
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,26,26,0,0,0,25636,2563.6
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,2,2,0,0,0,2926,292.6
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,942,94.2
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,59,59,0,0,0,104312,10431.2
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,12,12,0,0,0,20364,2036.4
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,8,8,0,0,0,11568,1156.8
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,11,11,0,0,0,10571,1057.1
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,5,5,0,0,0,7130,713
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,5,5,0,0,0,19940,1994
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,6,6,0,0,0,5802,580.2
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,4,4,0,0,0,4900,490
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,6,6,0,0,0,8586,858.6
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,2,2,0,0,0,4036,403.6
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,8,8,0,0,0,78944,7894.4
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,10,10,0,0,0,9240,924
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,11,11,0,0,0,3509,350.9
2020,Army,Israel,CCA Matrix Status,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,42.5,4.25
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,8,8,0,0,0,118559.84,11856
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,10,10,0,0,0,14210,1421
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,1257,125.7
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,26,26,0,0,0,38194,3819.4
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,14968,1496.8
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,1458,145.8
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,1257,125.7
2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/2020,4,4,0,0,0,22248,2224.8
2020,Army,Israel,CCA DC/DC CONVERTER,Service Authorized to Supply EDA,6/1/2020,17,17,0,0,0,1412377,141237.7
2020,Army,Israel,8 ohm resistor,Service Authorized to Supply EDA,6/1/2020,20,20,0,0,0,1000,100
2020,Army,Israel,3500 ohm resistor,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,2150,215
2020,Army,Israel,1 ohm resistor,Service Authorized to Supply EDA,6/1/2020,8,8,0,0,0,17112,1711.2
2020,Army,Israel,misc resistor mounting brackets,Service Authorized to Supply EDA,6/1/2020,5,5,0,0,0,17210,1721
2020,Army,Israel,Trigger Generator,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,3007,300.7
2020,Army,Israel,Trigger Generator,Service Authorized to Supply EDA,6/1/2020,1,1,0,0,0,1890,189
2020,Defense Logistics Agency (DLA),Moldova,REFRIDGERATION EQUIPMENT,Service Authorized to Supply EDA,6/4/2020,NA,NA,NA,NA,NA,266594.15,79978.25
2020,Defense Logistics Agency (DLA),Moldova,"METAL BARS, SHEETS AND SHAPES",Service Authorized to Supply EDA,6/4/2020,NA,NA,NA,NA,NA,266594.15,79978.25
2020,Defense Logistics Agency (DLA),Moldova,COMMUNICATION EQUIPMENT,Service Authorized to Supply EDA,6/4/2020,NA,NA,NA,NA,NA,266594.15,79978.25
