"Animal","Caption","Age","Gender","Ethnicity","Schooling","RecaptchaScore","Duration","Socials","Survey_01","Survey_02","Survey_03","Survey_04","Survey_05","Survey_06","Survey_07","Survey_08","Survey_09","Survey_10","Survey_11","Survey_12","One_word_comment"
"loris","informative",56,2,1,5,1,569,"1,3",1,4,3,2,2,4,2,4,3,5,4,2,"experimentation"
"gorilla","informative",28,2,1,4,1,195,"1,2,3,5",4,4,5,4,4,5,4,5,4,4,4,4,"GORILLA"
"gorilla","informative",38,2,1,2,1,744,"1,2,3,5",1,2,5,4,1,4,4,4,1,5,3,5,"powerful"
"gorilla","informative",40,1,1,4,1,242,"1,2,5",4,4,4,4,4,4,4,4,4,4,4,4,"I feel happy and wonder"
"loris","informative",68,1,1,3,1,261,"1,2,3",2,4,2,2,2,4,4,4,4,5,4,2,"compassion"
"loris","informative",42,1,1,4,1,346,"1,2,3",4,4,4,4,4,4,4,4,4,4,4,4,"research study"
"gorilla","no context",40,1,2,2,1,392,"1,2,3,5",1,4,4,4,1,5,2,4,1,5,3,4,"inspiring "
"gorilla","informative",39,1,1,4,1,1027,"1,3,5",4,4,4,4,4,4,4,4,4,4,4,4,"THE WORDS ARE GENEROUS"
"gorilla","informative",57,1,4,4,1,328,"2",4,4,5,5,5,4,5,4,4,5,4,5,"cute"
"loris","informative",32,1,1,4,1,371,"1,2,3,5",5,4,4,5,5,4,2,2,3,5,5,5,"animals are wants more safety"
"loris","informative",25,2,1,4,1,347,"1,2,3,4,5",4,5,5,4,4,4,4,4,4,5,4,4,"cutest in looks"
"loris","no context",26,2,1,4,1,615,"2",4,4,4,5,4,3,5,4,4,4,5,5,"save wild animals"
"gorilla","informative",25,2,1,4,1,167,"1,2,3,4,5",5,5,5,5,5,5,5,5,5,5,5,5,"this picture shown love between animals and humans"
"loris","no context",31,2,1,4,1,173,"2",1,2,1,1,1,1,1,2,1,4,1,1,"Sad"
"loris","no context",42,1,1,4,1,944,"2",4,4,4,3,4,2,2,4,3,4,4,3,"PITTY"
"gorilla","no context",25,2,5,4,1,398,"1,2,3",5,4,3,4,4,4,4,4,4,4,4,4,"CHIMPANCY"
"gorilla","informative",40,1,1,4,1,367,"1,2,3,4,5",4,4,4,4,5,4,4,5,5,5,3,5,"MONKEY"
"loris","informative",39,2,1,5,1,2748,"1,2,3",4,3,4,4,4,4,4,4,3,4,4,4,"sad"
"gorilla","no context",30,1,1,4,1,676,"2",5,5,5,5,5,4,4,5,5,4,5,4,"gorilla"
"gorilla","informative",33,2,1,4,1,514,"1,2,3,5",5,4,5,5,3,4,4,4,3,5,4,5,"to save this animals for next generation "
"loris","informative",34,1,1,5,1,280,"1,2",1,2,4,3,1,4,1,2,1,5,5,1,"stealing"
"gorilla","no context",25,2,1,4,1,198,"1,2,3,4,5",4,4,4,4,4,4,4,4,4,5,5,4,"The gorilla look very great and very nice to watch "
"gorilla","informative",36,1,1,4,1,330,"1,2,3,5",1,4,5,5,1,5,5,5,1,5,5,5,"majestic"
"gorilla","no context",65,1,1,5,1,345,"1,2",1,5,5,3,1,5,3,3,1,5,5,5,"magnificent"
"loris","informative",30,2,1,4,1,310,"2",5,5,4,4,4,4,5,4,5,5,4,5,"caring"
"loris","no context",44,2,1,5,1,231,"1",1,2,3,3,1,1,2,3,1,4,3,3,"What"
"loris","informative",73,2,1,5,1,305,"1",1,2,2,2,1,2,1,5,1,4,2,2,"fierce"
"loris","informative",73,2,1,5,1,305,"1",1,2,2,2,1,2,1,5,1,4,2,2,"fierce"
"gorilla","no context",29,1,1,4,1,894,"1,2,3,4,5",4,4,4,4,5,5,5,5,4,4,4,4,"the gorilla is seeing that man"
"loris","informative",64,1,1,3,1,300,"1,3",1,4,3,2,1,1,1,3,1,5,4,2,"what the hell is that thing"
"gorilla","informative",46,1,3,5,0,1019,"2",5,5,5,5,5,5,5,5,5,5,5,5,"cat"
"loris","no context",63,1,1,3,1,240,"1,2,3",2,4,3,3,2,3,2,2,2,5,4,2,"fear"
"gorilla","no context",30,1,1,4,1,541,"1,2,3,5",5,3,4,3,1,5,2,3,1,4,3,4,"Nature"
